spec_int2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,164_gzip,175_vpr,176_gcc,181_mcf,186_crafty,197_parser,252_eon,253_perlbmk,254_gap,255_vortex,256_bzip2,300_twolf,link
729,784,2003-05-01,Sun Microsystems,Sun Fire V210,,false,485.0,555.0,421.0,420.0,540.0,289.0,566.0,428.0,628.0,524.0,421.0,778.0,454.0,520.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030331-02010.html
730,787,2005-01-01,Sun Microsystems,Sun Fire V210,,false,621.0,706.0,591.0,536.0,626.0,309.0,730.0,546.0,865.0,678.0,539.0,1157.0,553.0,665.0,http://www.spec.org/cpu2000/results/res2005q1/cpu2000-20050111-03700.html
731,786,2004-01-01,Sun Microsystems,Sun Fire V240,,false,613.0,704.0,541.0,526.0,676.0,338.0,725.0,535.0,808.0,682.0,528.0,1060.0,558.0,652.0,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20040112-02710.html
732,784,2003-05-01,Sun Microsystems,Sun Fire V240,,false,482.0,553.0,421.0,417.0,538.0,281.0,567.0,426.0,629.0,521.0,416.0,773.0,450.0,518.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030331-02014.html
733,788,2005-01-01,Sun Microsystems,Sun Fire V240,,false,698.0,794.0,666.0,602.0,705.0,346.0,823.0,613.0,973.0,762.0,605.0,1319.0,622.0,743.0,http://www.spec.org/cpu2000/results/res2005q1/cpu2000-20050110-03691.html
734,786,2003-09-01,Sun Microsystems,Sun Fire V250,,false,612.0,702.0,542.0,526.0,676.0,337.0,724.0,534.0,801.0,680.0,529.0,1053.0,557.0,652.0,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20030916-02509.html
735,86,2004-07-01,Sun Microsystems,Sun Fire V40z,,false,1379.0,1515.0,1450.0,1128.0,1632.0,653.0,2080.0,1160.0,1725.0,1476.0,1447.0,1905.0,1300.0,1234.0,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040628-03196.html
736,87,2005-04-01,Sun Microsystems,Sun Fire V40z,,false,1558.0,1741.0,1537.0,1228.0,1772.0,720.0,2187.0,1174.0,2408.0,1704.0,1633.0,2497.0,1415.0,1402.0,http://www.spec.org/cpu2000/results/res2005q1/cpu2000-20050211-03843.html
737,789,2004-11-01,Sun Microsystems,Sun Fire V440,,false,743.0,845.0,707.0,638.0,751.0,375.0,873.0,655.0,1034.0,791.0,647.0,1388.0,664.0,802.0,http://www.spec.org/cpu2000/results/res2004q4/cpu2000-20041115-03589.html
738,781,2003-07-01,Sun Microsystems,Sun Fire V480,,false,556.0,619.0,417.0,474.0,586.0,588.0,577.0,496.0,670.0,555.0,404.0,859.0,606.0,572.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030728-02419.html
739,783,2003-10-01,Sun Microsystems,Sun Fire V480,,false,632.0,702.0,472.0,537.0,668.0,681.0,656.0,560.0,761.0,632.0,448.0,967.0,686.0,665.0,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20031027-02599.html
740,779,2002-06-01,Sun Microsystems,Sun Fire V480,,false,469.0,531.0,367.0,397.0,506.0,544.0,501.0,422.0,496.0,466.0,330.0,641.0,543.0,503.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020607-01409.html
741,781,2003-05-01,Sun Microsystems,Sun Fire V880,,false,560.0,626.0,416.0,473.0,598.0,600.0,582.0,500.0,675.0,561.0,404.0,862.0,609.0,575.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030616-02267.html
742,783,2003-09-01,Sun Microsystems,Sun Fire V880,,false,625.0,700.0,473.0,534.0,673.0,611.0,659.0,561.0,763.0,634.0,449.0,966.0,686.0,647.0,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20030916-02505.html
